id,rank,name,team,position,passAttempts,passYards,passTds,completionPercentage,yardsPerAttempt,rushYards,rushTds,fantasyPPG,compositeScore
1,1,joe burrow,CIN,QB,652,4918,43,70.6,7.5,,,,134.80588235294115
2,2,baker mayfield,TAM,QB,570,4500,41,71.4,7.9,,,,120.02941176470587
3,3,aaron rodgers,NYJ,QB,584,3897,28,63.0,6.7,,,,118.2411764705882
4,4,patrick mahomes,KAN,QB,581,3928,26,67.5,6.8,,,,117.78823529411763
5,5,geno smith,SEA,QB,578,4320,21,70.4,7.5,,,,116.54705882352941
6,6,bo nix,DEN,QB,567,3775,29,66.3,6.7,,,,115.86470588235291
7,7,jared goff,DET,QB,539,4629,37,72.4,8.6,,,,113.85882352941175
8,8,sam darnold,MIN,QB,545,4319,35,66.2,7.9,,,,113.59411764705882
9,9,caleb williams,CHI,QB,562,3541,20,62.5,6.3,,,,112.3470588235294
10,10,kyler murray,ARI,QB,541,3851,21,68.8,7.1,,,,109.75882352941174
11,11,cj stroud,HOU,QB,532,3727,20,63.2,7.0,,,,107.25882352941176
12,12,matthew stafford,LAR,QB,517,3762,20,65.8,7.3,,,,104.9705882352941
13,13,justin herbert,LAC,QB,504,3870,23,65.9,7.7,,,,103.46470588235292
14,14,lamar jackson,BAL,QB,474,4172,41,66.7,8.8,,,,102.6941176470588
15,15,josh allen,BUF,QB,483,3731,28,63.6,7.7,,,,100.66470588235293
16,16,jayden daniels,WAS,QB,480,3568,25,69.0,7.4,,,,100.01176470588234
17,17,brock purdy,SFO,QB,455,3864,20,65.9,8.5,,,,94.25294117647059
18,18,kirk cousins,ATL,QB,453,3508,18,66.9,7.7,,,,93.40588235294116
19,19,jordan love,GNB,QB,425,3389,25,63.1,8.0,,,,89.71764705882353
20,20,tua tagovailoa,MIA,QB,399,2867,19,72.9,7.2,,,,84.72941176470587
21,21,bryce young,CAR,QB,384,2403,15,60.9,6.3,,,,79.5705882352941
22,22,jalen hurts,PHI,QB,361,2903,18,68.7,8.0,,,,77.43529411764705
23,23,drake maye,NWE,QB,338,2276,15,66.6,6.7,,,,72.19411764705882
24,24,russell wilson,PIT,QB,336,2482,16,63.7,7.4,,,,71.85882352941175
25,25,daniel jones,NYG,QB,341,2070,8,63.3,6.1,,,,70.58235294117647
26,26,cooper rush,DAL,QB,308,1844,12,60.7,6.0,,,,65.37647058823528
27,27,gardner minshew ii,LVR,QB,306,2013,9,66.3,6.6,,,,65.08235294117647
28,28,will levis,TEN,QB,301,2091,13,63.1,6.9,,,,64.81764705882352
29,29,jameis winston,CLE,QB,296,2121,13,61.1,7.2,,,,63.75294117647058
30,30,derek carr,NOR,QB,279,2145,15,67.7,7.7,,,,62.088235294117645
31,31,dak prescott,DAL,QB,286,1978,11,64.7,6.9,,,,61.888235294117635
32,32,trevor lawrence,JAX,QB,284,2045,11,60.6,7.2,,,,61.10588235294117
33,33,mac jones,JAX,QB,262,1672,8,65.3,6.4,,,,56.929411764705875
34,34,joe flacco,IND,QB,248,1761,12,65.3,7.1,,,,55.52352941176469
35,35,anthony richardson,IND,QB,264,1814,8,47.7,6.9,,,,55.3
36,36,aidan oconnell,LVR,QB,243,1612,8,63.4,6.6,,,,53.388235294117635
37,37,mason rudolph,TEN,QB,228,1530,9,64.0,6.7,,,,51.06470588235293
38,38,spencer rattler,NOR,QB,228,1317,4,57.0,5.8,,,,48.90588235294116
39,39,deshaun watson,CLE,QB,216,1148,5,63.4,5.3,,,,47.68823529411764
40,40,drew lock,NYG,QB,181,1071,6,59.1,5.9,,,,41.34705882352941
41,41,andy dalton,CAR,QB,160,989,7,66.3,6.2,,,,38.77647058823529
42,42,justin fields,PIT,QB,161,1106,5,65.8,6.9,,,,38.54705882352941
43,43,jacoby brissett,NWE,QB,161,826,2,59.0,5.1,,,,36.723529411764694
44,44,tyler huntley,MIA,QB,133,829,3,64.7,6.2,,,,32.88235294117647
45,45,dorian thompsonrobinson,CLE,QB,118,440,,51.7,3.7,,,,27.55882352941176
46,46,michael penix,ATL,QB,105,775,3,58.1,7.4,,,,27.376470588235296
47,47,desmond ridder,LVR,QB,85,458,2,61.2,5.4,,,,23.6235294117647
48,48,malik willis,GNB,QB,54,550,3,74.1,10.2,,,,20.752941176470586
49,49,marcus mariota,WAS,QB,44,364,4,77.3,8.3,,,,19.26470588235294
50,50,joshua dobbs,SFO,QB,47,361,2,68.1,7.7,,,,18.135294117647057